text,label
"Urgent! Your account will be suspended. Click here immediately to verify your details.",1
"Your OTP is 123456. Do not share this code with anyone.",0
"Congratulations! You won $1000000 in the lottery. Share your bank details to claim.",1
"Meeting scheduled for tomorrow at 3 PM in conference room B.",0
"FINAL NOTICE: Your SBI account is locked. Update KYC now at http://sbi-verify.xyz",1
"Your package has been delivered successfully. Thank you for shopping with us.",0
"Act now! Limited time offer. Click here to claim your cash reward.",1
"Reminder: Your dentist appointment is on Friday at 10 AM.",0
"Share your verification code immediately or your account will be closed.",1
"Your credit card statement for March is now available online.",0
"Urgent KYC update required for HDFC account. Visit http://hdfc-kyc.com now.",1
"Thank you for your payment. Your transaction was successful.",0
"You have won a prize! Call this number to claim: 9876543210",1
"Your flight booking is confirmed. Check-in opens 24 hours before departure.",0
"RBI notice: Your bank account needs immediate verification. Click link.",1
"Your subscription has been renewed successfully. Next billing date: April 15.",0
"Congratulations! You are selected for a cash reward of Rs 50000. Reply YES.",1
"Your order #12345 has been shipped and will arrive in 2-3 business days.",0
"Share OTP code to verify your identity. This is urgent and mandatory.",1
"Your password has been changed successfully. If this wasn't you, contact support.",0
"Final warning! Your account suspended. Update details at http://bit.ly/bank123",1
"Your appointment has been rescheduled to next Tuesday at 2 PM.",0
"Urgent: Share your one time password to unlock your account immediately.",1
"Your monthly statement is ready. Login to view your transactions.",0
"KYC verification pending. Account will be blocked. Act now: http://tinyurl.com/kyc",1
"Thank you for attending our webinar. Recording will be shared soon.",0
"You won lottery prize! Send bank account number to claim Rs 100000.",1
"Your insurance policy renewal is due next month. Please make payment.",0
"Urgent! RBI mandates KYC update. Share verification code now or lose access.",1
"Your reservation at the restaurant is confirmed for Saturday 7 PM.",0
"Congratulations! You are eligible for instant loan. Click here to apply.",1
"Your gym membership expires next week. Renew now to continue access.",0
"HDFC Bank: Your account is suspended. Verify immediately at http://hdfc-secure.net",1
"Your prescription is ready for pickup at the pharmacy.",0
"Act immediately! Share OTP to prevent account closure. Final notice.",1
"Your electricity bill payment was successful. Receipt sent to email.",0
"You have won cash prize in lucky draw. Share details: http://bit.ly/prize123",1
"Your library books are due next Friday. Please return or renew them.",0
"Urgent verification needed! Your SBI account locked. Update KYC: http://sbi-update.com",1
"Your appointment reminder: Annual health checkup on Monday 9 AM.",0
"Limited time offer! Claim your reward now. Click here immediately.",1
